,tu,đinh_nghia,điểm
172,gặp,cùng có mặt và tiếp xúc hay chỉ giáp mặt với nhau tại một địa điểm nào đó khi đến từ những hướng khác nhau,0.0
173,thiên đồ,"bản vẽ trên mặt phẳng một phần trời có sao, khá gần quả đất để nêu được những chi tiết lớn trong hình thể",0.0
174,cá chép,"cá nước ngọt thân dày, lườn và bụng trắng, có râu hai bên mép, vảy và vây có ánh vàng phớt đỏ, đuôi rộng.",0.0
175,dù,"phương tiện bằng vải, lợi dụng sức cản của không khí để tốc độ rơi xuống của người hay vật được nhẹ nhàng",0.0
176,trùng,"nguyên nhân của tai hoạ trong gia đình, khi một người vừa qua đời lại có cái chết tiếp theo (theo mê tín)",-0.7
177,phỗng,"ăn con bài đánh ra ở bất cứ cửa nào khi trong tay mình có được một đôi như thế trong bài tổ tôm, tài bàn",0.0
178,em,"người cùng một thế hệ trong gia đình, trong họ, nhưng thuộc hàng dưới trong quan hệ với anh chị của mình",0.0
179,sắc cầu,"lớp khí quyển ở ngoài quang cầu, thường được nghiên cứu bằng quang phổ, có thể nhìn được bằng mắt thường",0.0
180,gạo cội,"có tài, có thâm niên và kinh nghiệm trong nghề (thường nói về diễn viên, vận động viên thể dục thể thao)",0.6
181,chuối,"cây ăn quả, thân ngầm, lá to có bẹ ôm lấy nhau thành thân giả, quả tròn dài xếp thành buồng có nhiều nải",0.0
182,cào,"nông cụ bằng gỗ, tre, sắt gồm một thanh ngang có gắn nhiều răng, tra vào cán dài để đảo thóc hoặc gom cỏ",0.0
183,gia trưởng,"có tư tưởng hoặc tự cho mình có quyền quyết định mọi việc, coi thường quyền dân chủ của những người khác",-0.8
184,giấy,"vật liệu được làm thành tờ từ bột thực vật, hay cellulos v.v. để viết, in, vẽ trên đó hoặc  để gói, bọc",0.0
185,xà,"Thanh vật liệu cứng, chắc bắc ngang nối liền hai đầu cột hoặc hai bức tường để đỡ các bộ phận bên trên.",0.0
186,ghềnh,"chỗ dòng sông bị thu hẹp và nông, có đá lởm chởm nằm chắn ngang khiến dòng nước bị dồn lại và chảy xiết",0.0
187,chay,"cây to cùng họ với mít, quả có múi, ruột màu đỏ, vị chua ăn được, vỏ và rễ dùng để ăn trầu hay để nhuộm",0.0
188,văn học,"Nghệ thuật dùng ngôn ngữ và hình tượng vào đạo đức hay triết lý để thể hiện đời sống, xã hội con người.",0.4
189,in li-tô,"in bằng cách dập vào khuôn là một phiến đá vôi nhẵn mặt, trên có nội dung in được viết, vẽ bằng mực đặc",0.0
190,giang mai,"là một bệnh nhiễm khuẩn do xoắc khuẩn Treponema pallidum gây nên, lây truyền chủ yếu qua đường tình dục",-0.9
191,tật,"trạng thái bất thường không chữa được của một cơ quan trong cơ thể, có bẩm sinh hoặc do tai nạn gây nên",-0.8
192,bò sát,"động vật có xương sống, thân phủ vảy, thở bằng phổi, di chuyển bằng cách bò sát đất như: rùa, cá sấu...",0.0
193,xạ hương,"Chất thơm chứa trong tinh hoàn của hươu xạ hoặc một số loài cây tiết ra, dùng làm nước hoa, làm thuốc.",0.3
194,thủ tục,"những điều kiện, quy định phải làm theo để tiến hành một công việc nào đó có liên quan với chính quyền",0.0
195,sắn,"cây thân thẳng mang nhiều sẹo lá, phiến lá xẻ hình chân vịt, rễ củ có lõi, chứa nhiều tinh bột ăn được",0.1
196,câu đối,"vật trang trí hoặc để thờ, bằng hai tấm gỗ, giấy dài hay lụa, có viết câu đối treo thành cặp song song",0.2
197,sinh vật,"tên chung của những động vật, thực vật và vi sinh vật có trao đổi chất từ khi sinh ra, lớn lên và chết",0.0
198,gắt gao,"rất gắt, với một cường độ mạnh mẽ, ở một mức độ cao khác thường, gây cảm giác căng thẳng hoặc khó chịu",-0.6
199,càng,"bộ phận một số loại xe, dụng cụ gồm hai thanh dài ở phía trước, làm chỗ cầm để kéo hoặc mắc súc vật...",0.0
200,hạch,"bộ phận cấu tạo của mọi tế bào, làm thành phần phình to trên dây thần kinh ở động vật không xương sống",0.0
201,gạo,"cây gỗ to, cùng họ với cây gòn, thân cành có gai, lá kép hình chân vịt, hoa tỏ màu đỏ, quả có sợi bông",0.0
202,lạc đà,"thú lớn nhai lại, trên lưng có một hoặc hai bướu, chịu được khát, dùng cưỡi và tải hàng hoá qua sa mạc",0.0
203,kinh tế,"toàn bộ những hoạt động, sản xuất tạo ra của cải vật chất nhằm đáp ứng nhu cầu cho con người và xã hội",0.0
204,chiết tự,"phân tích chữ Hán ra từng yếu tố, căn cứ vào nghĩa mà đoán việc lành dữ, theo thuật bói toán ngày xưa",0.0
205,lịch sử,"quá trình phát sinh, phát triển cho đến tiêu vong của sự kiện nào đó, được nghiên cứu và ghi chép lại",0.0
206,ngoặc đơn,dấu ( ) để tách rời biểu thức đại số và cho biết phải làm cùng một phép toán với toàn bộ biểu thức đó,0.0
207,giải thể,"không còn hoặc làm cho không còn đủ điều kiện tồn tại như một tổ chức nữa, các thành viên phân tán đi",-0.4
208,lăng kính,"khối trong suốt hình lăng trụ ba mặt, có tính chất khúc xạ và phân tích chùm ánh sáng thành quang phổ",0.0
209,nguyên tử,"(hoá học) phần tử nhỏ nhất của nguyên tố hoá học, gồm một hạt nhân ở giữa và nhiều điện tử xung quanh",0.0
210,sửu,kí hiệu thứ hai trong mười hai chi (lấy con trâu làm tượng trưng) trong phép tính thời gian cổ truyền,0.0
211,thổ dân,"cư dân đã hiện diện từ thuở sơ khai ở một địa phương nào đó, thường lạc hậu hơn người từ nơi khác đến",-0.1
212,thể loại,"những hình thức, đặc tính về sáng tác trong văn học, nghệ thuật phản ánh hiện thực, vận dụng ngôn ngữ",0.0
213,bác,từ để gọi kính trọng người như bác của mình hoặc để tự xưng thân mật với người như hàng cháu của mình,0.0
214,sênh,"nhạc cụ thổi bằng hơi có bầu chứa không khí, khi biểu diễn dùng ngón tay bịt hoặc mở các lỗ thoát hơi",0.0
215,tư bản,"vốn để kinh doanh, mang lại cho kẻ chiếm hữu giá trị thặng dư và qua đó bóc lột sức lao động làm thuê",-0.7
216,suy luận,"liên hệ các phán đoán với nhau bằng một chuỗi suy lý, rút ra nhiều điều mới từ những phán đoán có sẵn",0.0
217,thang,"dụng cụ gồm hai thanh dài song song nối liền bởi các thanh ngang ngắn, cách thành bậc, để leo lên cao",0.0
218,nô-en,"hằng năm vào ngày 25 tháng 12 dương lịch, kỉ niệm ngày chúa Jê-su ra đời (phiên âm từ tiếng Anhnoel)",0.7
219,làm mối,đứng trung gian giới thiệu cho hai bên làm quen với nhau để xây dựng quan hệ hôn nhân hoặc buôn bán.,0.5
220,giải tán,"không còn hoặc làm cho không còn tồn tại như một tổ chức, các thành phần, các thành viên phân tán đi",-0.4
221,nguyên tội,"tội đầu tiên thuỷ tổ loài người đã phạm vì ăn quả táo cấm, khiến cho mọi người sinh ra phải chịu lây",-0.8
222,eo biển,"phần biển dài và hẹp nằm giữa hai khoảng đất, thường là hai lục địa, nối liền hai vùng biển với nhau",0.0
223,chiến lược,"phương châm và biện pháp được vận dụng nhằm thực hiện mục đích quân sự, kinh tế, chính trị nhất định",0.0
224,gà tây,"loại gà cao to, lông thường có màu xám hoặc đen, con trống có bìu da ở cổ, lông đuôi có thể xoè rộng",0.0
225,xe đạp,"Xe có hai hoặc ba bánh, tay lái nối với bánh trước, chuyển động bằng sức chân đạp cho quay bánh sau.",0.0
226,ni-tơ,"(hoá học) khí không màu, không mùi dùng làm nguyên liệu chế phân đạm (phiên âm từ tiếng Anhnitrogen)",0.0
227,tự do,"trạng thái tồn tại của một dân tộc, một xã hội ngoài vòng áp bức, hạn chế vô lý trái với chính nghĩa",0.9
228,vòi voi,"Cây mọc hoang, lá có lông nhám, cụm hoa dài cuộn lại ở đầu ngọn trông giống vòi voi, dùng làm thuốc.",0.0
229,quân luật,"luật lệ quân đội, công an thi hành để kiểm soát, giải quyết những vấn đề khẩn cấp vì trật tự an ninh",0.0
230,hậu vận,"vận mệnh của con người lúc về già (số mạng con người thường chia làm tiền vận, trung vận và hậu vận)",0.0
231,già,"ở vào tuổi có những hiện tượng sinh lý suy yếu dần, trong giai đoạn cuối của quá trình sống tự nhiên",-0.2
232,in rô-nê-ô,"in bằng cách để giấy trắng dưới khuôn in, lăn trục có tẩm mực lên khuôn (phiên âm từ tiếng Anhroneo)",0.0
233,thiên để,"giao điểm của thiên cầu với đường thẳng, xuất phát từ vị trí của người quan sát chạy qua tâm quả đất",0.0
234,thâm nhập,"tác động tới dữ liệu của một ổ đĩa, một máy tính khác nằm trong mạng để thu được thông tin cần thiết",0.0
235,giặt,"làm sạch quần áo, chăn, màn, v.v. bằng cách vò, xát, chải, giũ trong nước, thường cùng với xà phòng",0.0
236,dầu,"chất lỏng nhờn, lấy từ động vật, thực vật hay khoáng vật, dùng để ăn, chữa bệnh, thắp đèn, chạy máy",0.0
237,sưu,"thuế đánh vào người đàn ông dân thường từ mười tám đến sáu mươi tuổi dưới thời phong kiến, thực dân",-0.6
238,tắc-xi,"ô-tô nhỏ chở khách, hàng hoá thuê, tính tiền cước phí theo số ki-lô-mét (phiên âm từ tiếng Anhtaxi)",0.0
239,bản lề,"vật gồm hai miếng kim loại lắp vào nhau bằng một cái trục xoay, dùng để lắp cánh cửa, nắp hòm, v.v.",0.0
240,cam,"cây cùng họ bưởi, lá to, hoa màu trắng, quả bé hơn quả bưởi, vỏ mỏng, khi chín có vị ngọt hoặc chua",0.0
241,vận hành,"Hoạt động, làm việc sao cho mỗi bộ phận thực hiện chức năng riêng và phối hợp với các bộ phận khác.",0.0
242,sú,"cây bụi, lá dày, quả hình lưỡi liềm, mọc ở vùng bùn lầy ven biển, vỏ có thể để nhuộm hoặc thuộc da",0.0
243,giới hạn,giá trị mà một đại lượng biến thiên trong một quá trình nào đó có thể tiến đến gần bao nhiêu tuỳ ý,0.0
244,thuyết,"hệ thống những tư tưởng, kiến giải dùng làm cơ sở để giải thích, lí luận trong một lĩnh vực nào đó",0.0
245,lô-gích,"khoa học nghiên cứu các quy luật và hình thức của tư duy, sự suy luận (phiên âm từ tiếng Anhlogic)",0.0
246,cộng sản,theo chủ trương đem các tư liệu sản xuất làm của chung của xã hội để mọi người cùng làm cùng hưởng,0.0
247,ma-de,(vật lý) nguồn ánh sáng chuyển vận theo nguyên tắc của thiết bị la-de (phiên âm từ tiếng Anhmaser),0.0
248,trượt tuyết,"môn thể thao trượt trên tuyết bằng hai thanh kim loại, gỗ hoặc chất dẻo mỏng, có hai cây gậy chống",0.0
249,vang,"Cây nhỏ có nhiều gai, quả cứng chứa bốn hạt, gỗ đỏ dùng để nhuộm, để làm thuốc trị bệnh tiêu chảy.",0.4
250,trống quân,"điệu hát dân gian, đối đáp giữa trai và gái, gõ theo nhịp vào một đoạn dây thẳng qua một cái thùng",0.0
251,nguyệt thực,hiện tượng mặt trăng bị che khuất một phần hay toàn phần trong một lúc đi vào vùng tối của quả đất,0.0
252,êm đẹp,"các mối quan hệ (tình cảm, công việc...) được giải quyết tốt đẹp, không xảy ra chuyện gì không hay",0.8
253,giác quan,"bộ phận của cơ thể chuyên tiếp nhận những kích thích từ bên ngoài như ánh sáng, mùi vị, màu sắc...",0.0
254,trường,vị trí lưu giữ các phần tử dữ liệu đặc biệt trên thiết bị nhớ ngoài hay bộ nhớ trong của máy tính,0.0
255,giá trị thặng dư,phần giá trị do lao động của người lao động làm thuê tạo ra vượt quá  giá trị sức lao động của họ,-0.6
256,tôn giáo,"quan niệm cho rằng, lực lượng siêu tự nhiên định đoạt tất cả và con người phải phục tùng, tôn thờ",0.0
257,mắt thần,bộ phận phóng tia âm cực để điều chỉnh việc bắt sóng điện từ trong máy thu thanh hay máy thu hình,0.0
