tu,dinh_nghia
ghềnh,"chỗ dòng sông bị thu hẹp và nông, có đá lởm chởm nằm chắn ngang khiến dòng nước bị dồn lại và chảy xiết"
chay,"cây to cùng họ với mít, quả có múi, ruột màu đỏ, vị chua ăn được, vỏ và rễ dùng để ăn trầu hay để nhuộm"
văn học,"Nghệ thuật dùng ngôn ngữ và hình tượng vào đạo đức hay triết lý để thể hiện đời sống, xã hội con người."
in li-tô,"in bằng cách dập vào khuôn là một phiến đá vôi nhẵn mặt, trên có nội dung in được viết, vẽ bằng mực đặc"
giang mai,"là một bệnh nhiễm khuẩn do xoắc khuẩn Treponema pallidum gây nên, lây truyền chủ yếu qua đường tình dục"
tật,"trạng thái bất thường không chữa được của một cơ quan trong cơ thể, có bẩm sinh hoặc do tai nạn gây nên"
bò sát,"động vật có xương sống, thân phủ vảy, thở bằng phổi, di chuyển bằng cách bò sát đất như: rùa, cá sấu..."
xạ hương,"Chất thơm chứa trong tinh hoàn của hươu xạ hoặc một số loài cây tiết ra, dùng làm nước hoa, làm thuốc."
thủ tục,"những điều kiện, quy định phải làm theo để tiến hành một công việc nào đó có liên quan với chính quyền"
sắn,"cây thân thẳng mang nhiều sẹo lá, phiến lá xẻ hình chân vịt, rễ củ có lõi, chứa nhiều tinh bột ăn được"
câu đối,"vật trang trí hoặc để thờ, bằng hai tấm gỗ, giấy dài hay lụa, có viết câu đối treo thành cặp song song"
sinh vật,"tên chung của những động vật, thực vật và vi sinh vật có trao đổi chất từ khi sinh ra, lớn lên và chết"
gắt gao,"rất gắt, với một cường độ mạnh mẽ, ở một mức độ cao khác thường, gây cảm giác căng thẳng hoặc khó chịu"
càng,"bộ phận một số loại xe, dụng cụ gồm hai thanh dài ở phía trước, làm chỗ cầm để kéo hoặc mắc súc vật..."
hạch,"bộ phận cấu tạo của mọi tế bào, làm thành phần phình to trên dây thần kinh ở động vật không xương sống"
gạo,"cây gỗ to, cùng họ với cây gòn, thân cành có gai, lá kép hình chân vịt, hoa tỏ màu đỏ, quả có sợi bông"
lạc đà,"thú lớn nhai lại, trên lưng có một hoặc hai bướu, chịu được khát, dùng cưỡi và tải hàng hoá qua sa mạc"
kinh tế,"toàn bộ những hoạt động, sản xuất tạo ra của cải vật chất nhằm đáp ứng nhu cầu cho con người và xã hội"
chiết tự,"phân tích chữ Hán ra từng yếu tố, căn cứ vào nghĩa mà đoán việc lành dữ, theo thuật bói toán ngày xưa"
lịch sử,"quá trình phát sinh, phát triển cho đến tiêu vong của sự kiện nào đó, được nghiên cứu và ghi chép lại"
ngoặc đơn,dấu ( ) để tách rời biểu thức đại số và cho biết phải làm cùng một phép toán với toàn bộ biểu thức đó
giải thể,"không còn hoặc làm cho không còn đủ điều kiện tồn tại như một tổ chức nữa, các thành viên phân tán đi"
lăng kính,"khối trong suốt hình lăng trụ ba mặt, có tính chất khúc xạ và phân tích chùm ánh sáng thành quang phổ"
nguyên tử,"(hoá học) phần tử nhỏ nhất của nguyên tố hoá học, gồm một hạt nhân ở giữa và nhiều điện tử xung quanh"
sửu,kí hiệu thứ hai trong mười hai chi (lấy con trâu làm tượng trưng) trong phép tính thời gian cổ truyền
thổ dân,"cư dân đã hiện diện từ thuở sơ khai ở một địa phương nào đó, thường lạc hậu hơn người từ nơi khác đến"
thể loại,"những hình thức, đặc tính về sáng tác trong văn học, nghệ thuật phản ánh hiện thực, vận dụng ngôn ngữ"
bác,từ để gọi kính trọng người như bác của mình hoặc để tự xưng thân mật với người như hàng cháu của mình
sênh,"nhạc cụ thổi bằng hơi có bầu chứa không khí, khi biểu diễn dùng ngón tay bịt hoặc mở các lỗ thoát hơi"
tư bản,"vốn để kinh doanh, mang lại cho kẻ chiếm hữu giá trị thặng dư và qua đó bóc lột sức lao động làm thuê"
suy luận,"liên hệ các phán đoán với nhau bằng một chuỗi suy lý, rút ra nhiều điều mới từ những phán đoán có sẵn"
thang,"dụng cụ gồm hai thanh dài song song nối liền bởi các thanh ngang ngắn, cách thành bậc, để leo lên cao"
nô-en,"hằng năm vào ngày 25 tháng 12 dương lịch, kỉ niệm ngày chúa Jê-su ra đời (phiên âm từ tiếng Anhnoel)"
làm mối,đứng trung gian giới thiệu cho hai bên làm quen với nhau để xây dựng quan hệ hôn nhân hoặc buôn bán.
giải tán,"không còn hoặc làm cho không còn tồn tại như một tổ chức, các thành phần, các thành viên phân tán đi"
nguyên tội,"tội đầu tiên thuỷ tổ loài người đã phạm vì ăn quả táo cấm, khiến cho mọi người sinh ra phải chịu lây"
eo biển,"phần biển dài và hẹp nằm giữa hai khoảng đất, thường là hai lục địa, nối liền hai vùng biển với nhau"
chiến lược,"phương châm và biện pháp được vận dụng nhằm thực hiện mục đích quân sự, kinh tế, chính trị nhất định"
gà tây,"loại gà cao to, lông thường có màu xám hoặc đen, con trống có bìu da ở cổ, lông đuôi có thể xoè rộng"
xe đạp,"Xe có hai hoặc ba bánh, tay lái nối với bánh trước, chuyển động bằng sức chân đạp cho quay bánh sau."
ni-tơ,"(hoá học) khí không màu, không mùi dùng làm nguyên liệu chế phân đạm (phiên âm từ tiếng Anhnitrogen)"
tự do,"trạng thái tồn tại của một dân tộc, một xã hội ngoài vòng áp bức, hạn chế vô lý trái với chính nghĩa"
vòi voi,"Cây mọc hoang, lá có lông nhám, cụm hoa dài cuộn lại ở đầu ngọn trông giống vòi voi, dùng làm thuốc."
quân luật,"luật lệ quân đội, công an thi hành để kiểm soát, giải quyết những vấn đề khẩn cấp vì trật tự an ninh"
hậu vận,"vận mệnh của con người lúc về già (số mạng con người thường chia làm tiền vận, trung vận và hậu vận)"
già,"ở vào tuổi có những hiện tượng sinh lý suy yếu dần, trong giai đoạn cuối của quá trình sống tự nhiên"
in rô-nê-ô,"in bằng cách để giấy trắng dưới khuôn in, lăn trục có tẩm mực lên khuôn (phiên âm từ tiếng Anhroneo)"
thiên để,"giao điểm của thiên cầu với đường thẳng, xuất phát từ vị trí của người quan sát chạy qua tâm quả đất"
thâm nhập,"tác động tới dữ liệu của một ổ đĩa, một máy tính khác nằm trong mạng để thu được thông tin cần thiết"
giặt,"làm sạch quần áo, chăn, màn, v.v. bằng cách vò, xát, chải, giũ trong nước, thường cùng với xà phòng"
dầu,"chất lỏng nhờn, lấy từ động vật, thực vật hay khoáng vật, dùng để ăn, chữa bệnh, thắp đèn, chạy máy"
sưu,"thuế đánh vào người đàn ông dân thường từ mười tám đến sáu mươi tuổi dưới thời phong kiến, thực dân"
tắc-xi,"ô-tô nhỏ chở khách, hàng hoá thuê, tính tiền cước phí theo số ki-lô-mét (phiên âm từ tiếng Anhtaxi)"
bản lề,"vật gồm hai miếng kim loại lắp vào nhau bằng một cái trục xoay, dùng để lắp cánh cửa, nắp hòm, v.v."
cam,"cây cùng họ bưởi, lá to, hoa màu trắng, quả bé hơn quả bưởi, vỏ mỏng, khi chín có vị ngọt hoặc chua"
vận hành,"Hoạt động, làm việc sao cho mỗi bộ phận thực hiện chức năng riêng và phối hợp với các bộ phận khác."
sú,"cây bụi, lá dày, quả hình lưỡi liềm, mọc ở vùng bùn lầy ven biển, vỏ có thể để nhuộm hoặc thuộc da"
giới hạn,giá trị mà một đại lượng biến thiên trong một quá trình nào đó có thể tiến đến gần bao nhiêu tuỳ ý
thuyết,"hệ thống những tư tưởng, kiến giải dùng làm cơ sở để giải thích, lí luận trong một lĩnh vực nào đó"
lô-gích,"khoa học nghiên cứu các quy luật và hình thức của tư duy, sự suy luận (phiên âm từ tiếng Anhlogic)"
cộng sản,theo chủ trương đem các tư liệu sản xuất làm của chung của xã hội để mọi người cùng làm cùng hưởng
ma-de,(vật lý) nguồn ánh sáng chuyển vận theo nguyên tắc của thiết bị la-de (phiên âm từ tiếng Anhmaser)
trượt tuyết,"môn thể thao trượt trên tuyết bằng hai thanh kim loại, gỗ hoặc chất dẻo mỏng, có hai cây gậy chống"
vang,"Cây nhỏ có nhiều gai, quả cứng chứa bốn hạt, gỗ đỏ dùng để nhuộm, để làm thuốc trị bệnh tiêu chảy."
trống quân,"điệu hát dân gian, đối đáp giữa trai và gái, gõ theo nhịp vào một đoạn dây thẳng qua một cái thùng"
nguyệt thực,hiện tượng mặt trăng bị che khuất một phần hay toàn phần trong một lúc đi vào vùng tối của quả đất
êm đẹp,"các mối quan hệ (tình cảm, công việc...) được giải quyết tốt đẹp, không xảy ra chuyện gì không hay"
giác quan,"bộ phận của cơ thể chuyên tiếp nhận những kích thích từ bên ngoài như ánh sáng, mùi vị, màu sắc..."
trường,vị trí lưu giữ các phần tử dữ liệu đặc biệt trên thiết bị nhớ ngoài hay bộ nhớ trong của máy tính
giá trị thặng dư,phần giá trị do lao động của người lao động làm thuê tạo ra vượt quá  giá trị sức lao động của họ
tôn giáo,"quan niệm cho rằng, lực lượng siêu tự nhiên định đoạt tất cả và con người phải phục tùng, tôn thờ"
mắt thần,bộ phận phóng tia âm cực để điều chỉnh việc bắt sóng điện từ trong máy thu thanh hay máy thu hình
ép,"dùng sức mạnh cơ học tác động lên khắp bề mặt để lấy chất lỏng, làm cho chặt lại hoặc mỏng đều ra"
giác ngộ,hiểu ra hoặc làm cho hiểu ra sự sai lầm và tự giác đi theo cái đúng (thường nói về mặt chính trị)
mi-crô,máy biến các sóng âm thành dao động  điện để truyền đi hoặc ghi lại (phiên âm từ tiếng Anhmicro-)
cặp kè,"nhạc cụ gõ gồm hai mảnh gỗ cứng, ghép thành bộ, đặt trong lòng bàn tay để đệm khi hát xẩm, hát vè"
bò cạp,"động vật chân đốt, thân gồm ba phần, hai càng to, cuối đuôi có gai nhọn chứa nọc độc, đốt rất đau"
mẫu số,"(toán học) số nguyên dưới vạch ngang của phân số, cho biết đơn vị được chia ra làm bao nhiêu phần"
giật gân,"(tin tức, sự kiện) có tác dụng kích thích mạnh, làm cho người nghe, người xem có cảm giác hồi hộp"
dây chuyền,"hình thức tổ chức sản xuất, gồm những bộ phận thực hiện kế tiếp nhau, theo một trình tự nhất định"
khoa học,hệ thống tri thức tích luỹ trong quá trình lịch sử và giúp con người khám phá thế giới hiện thực
tủ sách,"loạt sách cùng một nhà xuất bản, giới thiệu từng vấn đề khác nhau nhưng có những tính chất chung"
cây số,"trụ xây có ghi số ki-lô-mét chôn cạnh đường, để làm mốc cho khoảng cách trên những con đường lớn"
tản thực vật,"tên chung của những thực vật mà cơ thể chỉ là một khối đơn giản, chưa phân rõ thành thân, rễ, lá"
trâu,"động vật nhai lại, cặp sừng rỗng, dẹt và cong, ưa đầm nước, nuôi để lấy sức kéo, lấy thịt và sữa"
giá trị sử dụng,công dụng của hàng hoá có thể thoả mãn nhu cầu nào đó trong sản xuất hay tiêu dùng của con người
